Sample	Query	Marker	Start_pos	End_pos	Taxonomy	Abundance	iNode	E.value	LWR	EvoDist	Distances	Depth_m
SI072_10m_contig_classified	k147_68717_1_1	NapA	1	208	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__BACL14	50.7277365968398	191	1.5e-54	1	0.1078	0.0256,0.0822,0.0	10
SI072_10m_contig_classified	k147_352361_1_1	NapA	1	330	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Arenicellales; f__UBA868; g__GCA-2726415	0	428	7.5e-110	1	0.2113	0.1059,0.1054,0.0	10
SI072_10m_contig_classified	k147_15784_1_1	NapA	1	230	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PS1; f__Thioglobaceae; g__DUCF01; s__DUCF01 sp012959965	1980.29320720649	188	1.4e-56	1	0.1012	0.1011,0.0001,0.0	10
SI072_10m_contig_classified	k147_100030_1_1	NapA	1	206	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales	1172.37435690474	501	1.7e-26	0.7361430281	0.3108	0.0269,0.1054,0.1785	10
SI072_10m_contig_classified	k147_355893_1_1	NapA	6	414	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Puniceispirillales; f__Puniceispirillaceae	78.6180451100827	2426	7.3e-25	1	0.4207	0.172,0.2487,0.0	10
SI072_10m_contig_classified	k147_228859_1_1	NapA	12	155	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	0	2227	2.6e-09	1	0.7264	0.0001,0.7264,0.0	10
SI072_10m_contig_classified	k147_335739_1_1	NapA	1	221	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	39.7864600759528	204	3e-65	0.3386086019	0.2163	0.0001,0.0344,0.1819	10
SI072_10m_contig_classified	k147_142162_1_1	NapA	1	229	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__BACL14	23.0379240439796	191	2.3e-65	1	0.1555	0.0165,0.1391,0.0	10
SI072_10m_contig_classified	k147_204811_1_1	NapA	1	262	r__Root	0	2230	7.1e-30	1	2.1816	0.7459,0.6768,0.7589	10
SI072_10m_contig_classified	k147_107762_1_1	NapA	10	169	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__HTCC2089	0	78	1.4e-45	0.4708847987	0.4046	0.1491,0.2556,0.0	10
SI072_10m_contig_classified	k147_224192_1_1	NapA	1	166	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp905182485	84.7499535111862	194	2.5e-48	1	0.0457	0.0001,0.0457,0.0	10
SI072_10m_contig_classified	k147_359826_1_1	NapA	1	448	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0	376	7.5e-163	0.6593516322	0.7083	0.0001,0.2362,0.472	10
SI072_10m_contig_classified	k147_152529_1_1	NapA	1	475	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales	0	382	3.5e-165	1	0.5426	0.1643,0.3783,0.0	10
SI072_10m_contig_classified	k147_117909_1_1	NapA	1	609	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales	1852.40923634087	501	5.1e-86	0.550098572	0.4576	0.0261,0.253,0.1785	10
SI072_10m_contig_classified	k147_204637_1_1	NapA	1	471	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	96.2581050932314	2107	4.9e-60	1	0.6031	0.0874,0.5158,0.0	10
SI072_10m_contig_classified	k147_43429_1_1	NapA	1	296	r__Root	0	2230	5.7e-49	1	2.3912	0.6127,1.0196,0.7589	10
SI072_10m_contig_classified	k147_424575_1_1	NapA	1	188	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__UBA11654; f__UBA11654	0	195	6.2e-57	1	0.3983	0.2154,0.1829,0.0	10
SI072_10m_contig_classified	k147_304702_1_1	NapA	1	201	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__HTCC2089; g__UBA9926	78.7415612846468	206	6e-60	1	0.117	0.0001,0.1169,0.0	10
SI072_10m_contig_classified	k147_50040_1_1	NapA	1	288	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	15.2652911055305	373	2.1e-116	0.6874811566	0.3237	0.1858,0.1379,0.0	10
SI072_10m_contig_classified	k147_107761_1_1	NapA	1	210	r__Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia	0	1131	3.6e-78	1	0.8578	0.4408,0.4169,0.0	10
SI072_10m_contig_classified	k147_3822_1_1	NapA	2	210	r__Root; d__Bacteria; p__Proteobacteria	0	2127	1.9e-31	0.7468037506	1.1411	0.0765,0.469,0.5956	10
SI072_10m_contig_classified	k147_2720_2_1	NapA	1	541	r__Root	38.8632383504334	2230	1.3e-79	1	2.2696	0.5831,0.9277,0.7589	10
SI072_10m_contig_classified	k147_315151_1_1	NapA	2	484	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Pelagibacter; s__Pelagibacter sp902581605	0	187	4.5e-137	1	0.0741	0.074,0.0001,0.0	10
SI072_10m_contig_classified	k147_18674_1_1	NapA	1	215	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	0	204	4e-60	0.4183669981	0.2205	0.0001,0.0385,0.1819	10
SI072_10m_contig_classified	k147_166928_1_1	NapA	1	480	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__LGRT01	62.2823877105644	369	3.2e-171	1	0.1542	0.0581,0.0961,0.0	10
SI072_10m_contig_classified	k147_385339_1_1	NapA	1	219	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0	390	6e-86	0.4030593071	0.6636	0.047,0.2087,0.4079	10
SI072_10m_contig_classified	k147_176840_1_1	NapA	1	276	r__Root	0	2118	2.4e-45	1	2.7835	0.5059,1.1117,1.1659	10
SI072_10m_contig_classified	k147_56439_1_1	NapA	8	181	r__Root; d__Bacteria	0	2230	4.5e-35	1	1.3228	0.4585,0.1054,0.7589	10
SI072_10m_contig_classified	k147_392287_42_1	NapA	1	515	r__Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__TK06	0	158	4.3e-149	0.8771833429	0.4826	0.0996,0.3831,0.0	10
SI072_10m_contig_classified	k147_92983_2_1	NapA	1	517	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Pelagibacter	162.641529281583	187	1.5e-140	1	0.1365	0.0743,0.0622,0.0	10
SI072_10m_contig_classified	k147_333665_1_1	NapA	1	389	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__HTCC2089; g__UBA9926	0	206	1.4e-115	1	0.1844	0.079,0.1054,0.0	10
SI072_10m_contig_classified	k147_224089_2_1	NapA	2	539	r__Root	0	2118	3.5e-83	1	2.2758	0.269,0.8409,1.1659	10
SI072_10m_contig_classified	k147_211320_1_1	NapA	1	436	r__Root; d__Bacteria	0	2276	1.5e-80	1	1.3655	0.5169,0.5741,0.2744	10
SI072_10m_contig_classified	k147_18186_1_1	NapA	14	502	r__Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__SCGC-AAA160-P02	0	37	1.3e-86	1	0.3139	0.1763,0.1376,0.0	10
SI072_10m_contig_classified	k147_285295_1_1	NapA	1	188	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus	0	194	3.8e-55	1	0.2351	0.1298,0.1054,0.0	10
SI072_10m_contig_classified	k147_319204_1_1	NapA	1	334	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__HIMB59; f__GCA-002718135; g__CACLJX01	0	359	1.6e-130	0.9253971957	0.2133	0.0589,0.1544,0.0	10
SI072_10m_contig_classified	k147_402584_1_1	NapA	1	212	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__DSM-21967; g__Oceanicoccus; s__Oceanicoccus sp000169075	0	1846	3.3e-84	1	0.0993	0.0992,0.0001,0.0	10
SI072_10m_contig_classified	k147_427317_2_1	NapA	1	514	r__Root; d__Bacteria; p__Proteobacteria	0	2290	9.8e-99	1	0.952	0.6755,0.2765,0.0	10
SI072_10m_contig_classified	k147_204642_1_1	NapA	1	211	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus	0	194	7.5e-63	0.7681659109	0.3095	0.1133,0.1962,0.0	10
SI072_10m_contig_classified	k147_176801_1_1	NapA	1	190	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__DSM-21967; g__Oceanicoccus	0	1846	5.9e-74	1	0.1846	0.1137,0.0709,0.0	10
SI072_10m_contig_classified	k147_209889_1_1	NapA	1	345	r__Root	0	2082	9.1e-50	1	2.3519	0.2985,0.9538,1.0996	10
SI072_10m_contig_classified	k147_144729_1_1	NapA	1	445	r__Root; d__Bacteria; p__SAR324	0	2228	6.9e-58	1	1.0019	0.4681,0.5338,0.0	10
SI072_10m_contig_classified	k147_367431_1_1	NapA	1	309	r__Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Polaribacter	0	36	8.7e-60	0.610436759	0.1934	0.078,0.1154,0.0	10
SI072_10m_contig_classified	k147_137219_1_1	NapA	1	377	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp905182485	46.5227919406644	194	4.8e-111	1	2e-04	0.0001,0.0001,0.0	10
SI072_10m_contig_classified	k147_103557_1_1	NapA	2	287	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	0	2112	2.2e-61	1	0.6325	0.1455,0.487,0.0	10
SI072_10m_contig_classified	k147_212130_1_1	NapA	1	175	r__Root; d__Bacteria	0	2186	6e-26	1	1.2533	0.1602,1.0932,0.0	10
SI072_10m_contig_classified	k147_50681_1_1	NapA	1	436	r__Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__SCGC-AAA160-P02; s__SCGC-AAA160-P02 sp000383355	0	37	8.5e-76	1	0.1016	0.0878,0.0138,0.0	10
SI072_10m_contig_classified	k147_61965_1_1	NapA	1	233	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Pelagibacter	0	187	7.7e-64	1	0.3	0.1999,0.1001,0.0	10
SI072_10m_contig_classified	k147_370634_1_1	NapA	1	250	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	0	202	5.4e-79	0.4297600666	0.2606	0.0001,0.106,0.1546	10
SI072_10m_contig_classified	k147_391977_1_1	NapA	1	285	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Amylibacter	1823.35064455448	368	2.1e-106	0.8635357251	0.3083	0.0835,0.2248,0.0	10
SI072_10m_contig_classified	k147_192217_1_1	NapA	1	641	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Actibacterium	338.290264200317	495	3.9e-83	0.4020222051	0.2386	0.0579,0.1807,0.0	10
SI072_10m_contig_classified	k147_154490_1_1	NapA	1	223	r__Root	0	2032	9.6e-35	0.4637016185	1.6538	0.2043,0.5575,0.892	10
SI072_10m_contig_classified	k147_214253_1_1	NapA	1	378	r__Root	0	2230	1.1e-42	1	2.1118	0.5778,0.7751,0.7589	10
SI072_10m_contig_classified	k147_366862_1_1	NapA	1	403	r__Root; d__Bacteria; p__Verrucomicrobiota	0	44	7.7e-64	1	1.0126	0.4129,0.435,0.1647	10
SI072_10m_contig_classified	k147_433939_1_1	NapA	1	321	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp905182485	98.3046821007082	194	1.3e-91	1	0.0195	0.0138,0.0057,0.0	10
SI072_10m_contig_classified	k147_389098_1_1	NapA	1	287	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__HIMB59	0	362	1.6e-98	0.610295532	0.5575	0.0963,0.4612,0.0	10
SI072_10m_contig_classified	k147_182529_1_1	NapA	1	190	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__2-02-FULL-58-16_A	481.290525466157	499	7.3e-30	0.5463844333	0.2736	0.0341,0.1054,0.1341	10
SI072_10m_contig_classified	k147_143800_1_1	NapA	1	184	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales	0	55	5.7e-26	1	0.679	0.3985,0.2805,0.0	10
SI072_10m_contig_classified	k147_13189_1_1	NapA	1	216	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus	44.7781872428894	194	1.2e-74	1	0.2462	0.08,0.1662,0.0	10
SI072_10m_contig_classified	k147_368413_1_1	NapA	1	438	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nitrosococcales; f__Methylophagaceae; g__GCA-002733105; s__GCA-002733105 sp018646825	0	442	3e-147	1	2e-04	0.0001,0.0001,0.0	10
SI072_10m_contig_classified	k147_428887_2_1	NapA	1	475	r__Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__PCC-6307	0	1131	2.7e-161	1	0.6497	0.3928,0.2569,0.0	10
SI072_10m_contig_classified	k147_327505_1_1	NapA	1	225	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__HTCC2089; g__UBA9659	0	2107	5.7e-30	1	0.2727	0.0272,0.2455,0.0	10
SI072_10m_contig_classified	k147_56083_2_1	NapA	1	446	r__Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__SCGC-AAA160-P02	328.500868461564	37	1.3e-75	1	0.2757	0.0687,0.207,0.0	10
SI072_10m_contig_classified	k147_49535_1_1	NapA	1	197	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Pelagibacter	0	187	1.8e-61	1	0.2188	0.1832,0.0356,0.0	10
SI072_10m_contig_classified	k147_375703_1_1	NapA	1	381	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	36.1657899302234	208	4.1e-114	0.7183377969	0.3078	0.048,0.1054,0.1545	10
SI072_10m_contig_classified	k147_280599_1_1	NapA	1	167	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae	0	2058	2.4e-26	1	0.5277	0.2118,0.1054,0.2106	10
SI072_10m_contig_classified	k147_96135_1_1	NapA	1	413	r__Root	61.7412645585427	2118	1.3e-49	1	2.6439	0.5152,0.9628,1.1659	10
SI072_10m_contig_classified	k147_66783_1_1	NapA	1	216	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__UBA11654; f__UBA11654	0	195	6.7e-72	1	0.4188	0.2438,0.1751,0.0	10
SI072_10m_contig_classified	k147_206446_1_1	NapA	1	597	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0	2429	9.9e-32	0.500103606	0.3922	0.0896,0.3026,0.0	10
SI072_10m_contig_classified	k147_334920_1_1	NapA	1	423	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Pelagibacter	136.869176100907	187	6.3e-116	1	0.1753	0.1247,0.0506,0.0	10
SI072_10m_contig_classified	k147_40778_1_1	NapA	1	252	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PS1; f__Thioglobaceae; g__DUCF01; s__DUCF01 sp012959965	0	188	2.5e-71	1	0.093	0.0929,0.0001,0.0	10
SI072_10m_contig_classified	k147_244667_1_1	NapA	1	188	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Pelagibacter; s__Pelagibacter sp902581605	0	187	1.8e-61	1	0.0539	0.0001,0.0538,0.0	10
SI072_10m_contig_classified	k147_11591_1_1	NapA	1	212	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__LGRT01	0	369	1.3e-80	1	0.1536	0.052,0.1015,0.0	10
SI072_10m_contig_classified	k147_445824_1_1	NapA	2	194	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus	0	2056	1.2e-26	1	0.1742	0.0001,0.1741,0.0	10
SI072_10m_contig_classified	k147_376365_1_1	NapA	35	586	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0	2429	2.7e-28	1	0.3493	0.0884,0.2609,0.0	10
SI072_10m_contig_classified	k147_421426_1_1	NapA	1	262	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Pelagibacter	0	187	8.1e-63	1	0.1435	0.0961,0.0474,0.0	10
SI072_10m_contig_classified	k147_441648_1_1	NapA	1	366	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus	90.7952966624596	194	5.5e-106	1	0.1519	0.0744,0.0775,0.0	10
SI072_10m_contig_classified	k147_69440_3_1	NapA	1	254	r__Root; d__Archaea; p__Thermoplasmatota; c__Poseidoniia	0	5	3e-28	0.7134415614	0.809	0.0829,0.5219,0.2042	10
SI072_10m_contig_classified	k147_357332_1_1	NapA	1	199	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Pelagibacter; s__Pelagibacter sp902581605	0	187	2.1e-37	1	0.0636	0.0635,0.0001,0.0	10
SI072_10m_contig_classified	k147_37148_1_1	NapA	1	276	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	37.1527084934601	204	1.5e-76	0.3162955791	0.23	0.0001,0.048,0.1819	10
SI072_10m_contig_classified	k147_90356_1_1	NapA	1	231	r__Root; d__Bacteria	0	444	1.4e-67	0.6683451195	1.0208	0.096,0.2758,0.649	10
SI072_10m_contig_classified	k147_282699_1_1	NapA	1	201	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__CACKLF01	1719.38565956945	373	2.8e-52	0.8606331653	0.1573	0.1572,0.0001,0.0	10
SI072_10m_contig_classified	k147_450796_2_1	NapA	1	244	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0	376	7.4e-76	0.3134659157	0.8867	0.0001,0.4146,0.472	10
SI072_10m_contig_classified	k147_210561_1_1	NapA	1	465	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Fulvimarina	0	494	1.7e-50	0.3887365915	0.2629	0.1254,0.1375,0.0	10
SI072_10m_contig_classified	k147_306396_1_1	NapA	1	275	r__Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__PCC-6307	0	1131	4.2e-87	1	0.5404	0.4773,0.0631,0.0	10
SI072_10m_contig_classified	k147_8785_1_1	NapA	2	213	r__Root; d__Bacteria	0	2186	4.1e-18	1	1.3246	0.5982,0.7264,0.0	10
SI072_10m_contig_classified	k147_71948_1_1	NapA	1	220	r__Root	0	280	1.8e-36	0.6878111077	2.2607	1.0384,0.4505,0.7718	10
SI072_10m_contig_classified	k147_349406_2_1	NapA	1	233	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Pelagibacter; s__Pelagibacter sp902581605	127.215089791791	187	1e-41	1	0.0763	0.0001,0.0762,0.0	10
SI072_10m_contig_classified	k147_34666_1_1	NapA	1	238	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	0	204	8.3e-63	0.4364058794	0.2023	0.0001,0.0203,0.1819	10
SI072_10m_contig_classified	k147_369441_1_1	NapA	1	200	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Casp-alpha2	30.7748268687495	384	4.4e-55	0.4675587991	0.4223	0.1074,0.3149,0.0	10
SI072_10m_contig_classified	k147_48114_3_1	NapA	1	289	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae	0	2055	1.3e-34	0.500187934	0.4765	0.1431,0.3333,0.0	10
SI072_10m_contig_classified	k147_406114_1_1	NapA	11	340	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__BACL14; s__BACL14 sp018657165	0	2166	1.4e-43	1	0.0346	0.0345,0.0001,0.0	10
SI072_10m_contig_classified	k147_57083_8_1	NapA	1	193	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp905182485	333.675778503657	194	3.3e-45	1	2e-04	0.0001,0.0001,0.0	10
SI072_10m_contig_classified	k147_49130_17_1	NapA	1	206	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0	374	2.9e-56	0.9477800959	0.3571	0.0349,0.1054,0.2169	10
SI072_10m_contig_classified	k147_70095_1_1	NapA	1	466	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	212.759586183462	495	1.1e-48	0.3669393394	0.3302	0.0889,0.2413,0.0	10
SI072_10m_contig_classified	k147_226271_1_1	NapA	1	325	r__Root; d__Bacteria; p__Proteobacteria	0	2167	9.7e-50	1	0.7356	0.2166,0.2532,0.2658	10
SI072_10m_contig_classified	k147_147548_1_1	NapA	1	233	r__Root; d__Bacteria; p__Proteobacteria	0	2276	9.6e-30	1	0.7285	0.3487,0.1054,0.2744	10
SI072_10m_contig_classified	k147_126203_5_1	NapA	1	249	r__Root; d__Bacteria; p__Verrucomicrobiota	0	44	2.2e-23	1	1.0681	0.3575,0.5459,0.1647	10
SI072_10m_contig_classified	k147_436512_2_1	NapA	1	239	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp905182485	0	194	2.9e-60	1	2e-04	0.0001,0.0001,0.0	10
SI072_10m_contig_classified	k147_74731_2_1	NapA	1	217	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0	407	2.9e-56	0.7561550353	0.8464	0.0805,0.549,0.2169	10
SI072_10m_contig_classified	k147_2701_4_1	NapA	1	254	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	0	2113	1.4e-22	0.5002147687	0.7028	0.0001,0.4633,0.2395	10
SI072_10m_contig_classified	k147_39155_1_1	NapA	1	295	r__Root; d__Bacteria; p__Proteobacteria	0	2275	1.4e-41	0.9999995123	0.9576	0.1838,0.7738,0.0	10
SI072_10m_contig_classified	k147_430970_1_1	NapA	1	287	r__Root; d__Archaea; p__Thermoplasmatota; c__Poseidoniia; o__Poseidoniales; f__Poseidoniaceae	0	0	7e-22	1	0.4441	0.1301,0.3139,0.0	10
